character,nationality
Gomez,unknown
Stan,USA
Ollie,USA
Charlie Hall,USA
Rita La Punta,Brazil
Ranbir Raj (Saawariya),India
Gulabji,India
Lilian,India
Sakina,India
Imaan,India
Vincent van Gogh,Dutch
Theo van Gogh,Dutch
Donald Mason,USA
Lieutenant Jerry Burke,USA
President Abraham Lincoln,USA
Hannah,USA
Miss Lombardo,USA
Dominic,USA
Mickey,USA
Johnny Kelly,USA
Japanese spies,Japan
Emperor Hirohito,Japan
Hitler,Germany
Hermann Göring,Germany
Goebbels,Germany
Asuka Matsuda,Japan
Pam,Japan
Azusa,Japan
Emiri,Japan
Camila O'Gorman,Argentina
Father Ladislao Gutiérrez,Argentina
Juan Manuel de Rosas,Argentina
Father Gannon,Argentina
Angelica,USA
William,England
Winnie,USA
Jeremy McFlannel,England
Corynthia Meanstreak,USA
Sam Bradbury,USA
Molly,USA
Kirk,USA
Dirk,USA
Gaston,France
Nanny,England
Ann Mitchell,USA
John Willoughby,USA
Henry Connell,USA
D.B. Norton,USA
Peter,Germany
Lisbeth,Germany
Glasmännlein,Germany
Holländer-Michel,Germany
Balthus,Switzerland
Setsuko,Japan
Harumi,Japan
Stanislaus,Switzerland
Thadée,Switzerland
Jean Leymarie,France
Jean Clair,France
Pierre Rosenberg,France
James Lord,USA
François Rouan,France
Henri Cartier-Bresson,France
Irving Penn,USA
Brian Hawke,England
Captain Roc Brasiliano,Brazil
Spitfire Stevens,England
Patma,India
Sam,unknown
Baggy,unknown
Paris,unknown
Zeke,unknown
Woody Woodpecker,USA
Piedmont Mumblethunder,Scotland
Philip,Scotland
Victor Joseph,"Coeur D'Alene Indian Reservation, USA"
Thomas Builds-the-Fire,"Coeur D'Alene Indian Reservation, USA"
Arnold,"Coeur D'Alene Indian Reservation, USA"
Arlene,"Coeur D'Alene Indian Reservation, USA"
Suzie Song,"Coeur D'Alene Indian Reservation, USA"
Ramon Cota,San Carlos
Colonel Scott McCoy,USA
Major Bobby Chavez,USA
DEA Agent Page,USA
General Taylor,USA
Pluto,undefined
Chipmunk 1,undefined
Chipmunk 2,undefined
Rehmat,Afghanistan
Mini,India
Mini's Father,India
Robinson Laborde,French
Chloé,French
Laetitia,unknown
Ombeline,unknown
Theo,unknown
Marquise d'Arcanges,unknown
Calvin Graham,USA
Graham's sister,USA
Ship's captain,USA
Executive officer,USA
Guards,USA
Paul Goodman,USA
Wild Bill Hickok,USA
Jack McCall,USA
Jack Starks,USA
Jackie,USA
Dr. Thomas Becker,USA
Larry Murphy,USA
Stiles,USA
Warden,USA
Dr. D,USA
Frank Davies,USA
Flo Hutter,USA
Charlie Bontempo,USA
Grace,USA
Armando Bruza,Argentina
Bosko,unknown
Tiger,unknown
Monkey,unknown
Ape,unknown
Hyenas,unknown
Nagamine Shigeki,Japan
Murderer 1,Japan
Murderer 2,Japan
Tokyo Policemen,Japan
Inn Owner,Japan
Inn Owner's Daughter,Japan
Barry Egan,USA
Lena Leonard,USA
Dean Trumbell,USA
José Sanchez,Mexico
María,USA
El Californio,Mexico
Chucho,Mexico
Irene,Mexico
Toni,USA
Guillermo 'Memo',USA
Jimmy,USA
Isabel,Mexico
David Ronconi,USA
Carlitos,USA
Michael Orraya,USA
Zhenya,Russia
Georgian President Mikheil Saakashvili,Georgia
Gabo,South Ossetia
Rich Bower,USA
Sam,USA
Terry,USA
Dean,USA
Mark,USA
Carol,European
Ayesha,Not Applicable
Kate Gunzinger,USA
Homer,USA
Ben Lewin,USA
Charlie,USA
Partner,USA
Milan,Czech Republic
Goran,Czech Republic
Lubos,Czech Republic
Eman,Czech Republic
Miluska,Czech Republic
Frantisek,Czech Republic
University Professor,Czech Republic
Mahalakshmi,India
Seenu,India
Count Murnau,Carpathian
Mr. Dohart,Carpathian
Hutter,German
Ellen,German
Dr. Shvert,German
Merchant Father,unknown
Nastenka,unknown
Elder Sisters,unknown
Hideous Monster,unknown
Witch,unknown
Handsome Prince,unknown
Henry Holland,UK
Alfred Pendlebury,UK
Lackery Wood,Unknown
Shorty Fisher,Unknown
Billy Halleck,USA
Heidi Halleck,USA
Linda Halleck,USA
Richie Ginelli,USA
Tadzu Lempke,Gypsy
Dr. Mike Houston,USA
Durai,India
Muthaiah,India
Alamelu aka Ammu,India
Pirate Crewman,unknown
Captain,unknown
Ghost of the Captain,unknown
Spike Milligan,unknown
Veterans,USA
John 'Hans' Lobert,USA
Lobert's niece,USA
Adam Polachuk,USA
Don Diego Vega,Spain
Governor Alvarado,Spain
Captain Juan Ramon,Spain
Sergeant Pedro Gonzales,Spain
Lolita Pulido,Spain
Brigadier General Charles Lane,USA
Master Sergeant Murphy 'Murph' Savage,USA
Corporal Chan Derby,USA
Simone (Frenchwoman),France
Corporal Terry Sellers,USA
Private Orville Hutchmeyer,USA
Sgt. Thomas Beck,USA
Det. Cliff Willis,USA
Lt. Ed Flynn,USA
Lt. John Masterson,USA
FBI Special Agent Lloyd Gallagher,USA
United States Senator Holt,USA
Brenda,USA
Robert Stone,USA
Harry Joplin,USA
Kathy Joplin,USA
Dee Shane,USA
Gordon,USA
Diana Boyce-Smith,England
Claude,England
Bogard,USA
Ronnie,England
New Husband,Jamaica
Azhagiri,India
Shanmughapriya,India
Kanaga,India
Amirthalingam,India
Roo,Australia
Barney,Australia
Olive,Australia
Nancy,Australia
Pearl,Australia
Dowd,Australia
Bubba,Australia
Prakash Raj,India
Rupert Kathner,Australia
Alma Brooks,Australia
Ruth,UK
Jack,UK
Joey Wellman,USA
Lena,USA
Elsie,USA
Christian Gauthier,France
Isabelle,France
Kitty Fremont,USA
Ari Ben Canaan,Israel
Sebastian,Not Applicable
Sunaina,Not Applicable
Nakul,Not Applicable
Sunaina's Uncle,Not Applicable
Marvin Blake,USA
Lane Norwood,USA
Madge Norwood,USA
Betty Wright,USA
Youssef,Lebanon
Maha,Lebanon
Rachid,Lebanon
Faisal,Palestine
Gabriel YuLaw,unknown
Gabe Law,USA
T.K. Law,USA
Rodecker,unknown
Funsch,unknown
Richard Jacks,USA
Helen Hyde,USA
Sarah,USA
Peasant,Unknown
Young Girl,Unknown
Apartment Residents,Unknown
Murthy,India
Kalyani,India
Subbalaxmi/Sujatha,India
Onur,Turkey
Zeynep,Turkey
Vedat,Turkey
Harlan B. Hollis,USA
Christopher Stone,USA
Frank Spyros,USA
Richard Hill,USA
Kelly Hollis,USA
Susan Clark,USA
Michael Fox,USA
Hoyt Axton,USA
Arthur Wheeler,USA
Warner E. Leighton,USA
Dennis,USA
Larry Bergleman,USA
Kid,USA
Play,USA
Sydney,USA
Jamal,USA
Zora,USA
Salena,USA
Bilal,USA
Miles,USA
Professor Sinclair,USA
Mr Lee,USA
Stab,USA
Zilla,USA
Pee Wee,USA
Pops,USA
Maximilian Rodrigues de Santos,Mexico
Sergeant Valdez,Mexico
Paula,USA
Police Chief Sylvester,USA
Billy Joe Hallson,USA
General Lacomber,USA
Jason 'Jace' Newfield,USA
Vincent 'Fly' Shu,USA
Mary Beth Rice,USA
Mr. Wyatt,USA
Lucy,unknown
Lucy's husband,unknown
Group member,unknown
Matteo Scuro,Italy
Tosca,Italy
Canio,Italy
Norma,Italy
Guglielmo,Italy
Alvaro,Italy
Max,Australia
Elena,Russia
James,USA
Maggie,USA
Rishi,unknown
Bhupathi,unknown
Deepali,unknown
Simhadri,unknown
Raju,unknown
Stephen,unknown
Robert,unknown
Nanu,unknown
Nandini,unknown
Mazarin,France
d'Artagnan,France
Louis XIV,France
Isabelle de Saint-Mars,France
Farm-Worker,Japan
Mother,Japan
Arthur,USA
Madison,USA
William,USA
Leopoldo,Italy
Melchiorre (Gimondi),Italy
Conan,Japan
Jimmy,Japan
Rachel,Japan
Leo Joel,Japan
Lloyd Hallett,USA
Vince Striker,USA
T. Rajendar,India
Roja,India
Murali,India
Swati,India
Corrupt Cop,India
Captain Crowther,United Kingdom
Gladys,United Kingdom
Flo,United Kingdom
Bridget,United Kingdom
Dr. Binn,United Kingdom
First Officer Marjoribanks,United Kingdom
Linda,Centaurian
Tang,Human
Captain,Human
Gabriel Darbeaux,England
Michael,England
Arabella Simone,England
Valentino Tarantola,Italy
Muhammed,fictional
Nelson,fictional
Enrico Tarontola,Italy
Det. Casey Shraeger,USA
Sergeant Harvey Brown,USA
Jason Walsh,USA
Det. Henry Cole,USA
Det. Allison Beaumont,USA
Leo Banks,USA
Eric Delahoy,USA
Eddie Alvarez,USA
Cossack,Russia
Tsarina,Russia
Phil Potter,USA
Jessica,USA
Mickey,USA
Marva,USA
Marilyn Holmberg,USA
Marie,USA
Paul,USA
Larry,USA
Dick Ho,unknown
Porn Industry Veterans,USA
Tai Tran,Vietnam
Gunnery Sgt. Jim Lance,USA
Minh,Vietnam
Addie,USA
Duc,Vietnam
Thuy Hoa,Vietnam
Marshall Richard 'Dick' Dix,USA
Police Chief,USA
Cassandra Menage,USA
Bill Clinton (clone),USA
Lt. Bradford Shitzu,USA
Dr. Griffin Pratt,USA
Capt. Valentino DiPasquale,USA
Dr. Uschi Künstler,unknown
Lee Mun-ho,South Korea
Kim Hyeon-gon,USA
Park Seon-hwa,South Korea
Tom Allan,Australia
William Sharon,USA
Charles Crocker,USA
Jeff Kincaid,USA
Big Jack Davis,USA
Bluey Donkin,Australia
Milo Trent,Australia
Peter Linton,England
Kate Carmody,Australia
Sister Mary,Australia
Kenny / Sivakumar,India
Satyan,India
Sarah Vinayagam,UK
Veerakathi,India
Sarath,India
Meenakshi,India
Geetha,India
Big Bully,Unknown
Gabriel,Unknown
Charcoal Demon,Unknown
John Trent,USA
Sutter Cane,USA
Linda Styles,USA
Jackson Harglow,USA
Jackie Leeds,Kenya
Tembo Murumbi,Kenya
Professor Crankshaw,England
Pastor,Kenya
Teenagers,Province
Priest,Province
Yoon Seok-woo,South Korea
Kim Yoo-min,South Korea
Jo Yoon-hee,South Korea
Yoon Se-ah,South Korea
Ryu Seung-soo,South Korea
Lee Young-eun,South Korea
Sergeant David Tate,UK
Private 1st Class Charlie Shakespeare,UK
Private Thomas Quinn,UK
Private Willie McNess,UK
Friedrich,Germany
Private Jack Hawkstone,UK
Private Barry Starinski,UK
Private Colin Chevasse,UK
Captain Bramwell Jennings,UK
Private Anthony Bradford,UK
Corporal 'Doc' Fairweather,UK
Zachariah,South Africa
Zachariah's Wife,South Africa
Marumu,South Africa
Vinah,South Africa
Kate,Britain
Janine,Britain
Molly,Britain
Jed,Britain
Vicar,Britain
Bill,Britain
Eleanor,Britain
African Art Collector,African
Gallery Owner,European
Art Authenticator,European
Arlen Faber,USA
Kris Lucas,USA
Elizabeth,USA
Madhav,India
Sreenu,India
Amrutha,India
Butch Masters,USA
Tom Craig,USA
Kurdish Terrorist Group,Iraq
Russian Knights jet fighter aerobatic group,Russia
Aishwarya,India
Raya,India
Shakti,India
Mahadevaya,India
Rudra,India
Janaki Varma,India
Egyptian queen,Egypt
Oxford Poet,England
Inn Manager,England
Colonel William Ludlow,USA
One Stab,Cree
Decker,USA
Alfred Ludlow,USA
Tristan Ludlow,USA
Samuel Ludlow,USA
Susannah Fincannon,USA
Isabel Two,USA
Flagg,USA
Antoine Walk'in Marchelli,France
Sébastien Fahrenheit Vallois,France
Bhagwaan,India
Dada Shambu,India
Govinda,India
Swaroop,India
Madhu,India
Inspector Vijay,India
Geeta,India
Gene Autry,USA
Smiley,USA
Eightball,USA
Harry Brooks,USA
Sheriff Manley,USA
Barney Craven,USA
Janet,USA
Jerry,USA
Mika,Japan
Kyoko,Japan
Noboru,Japan
Kuchisake onna,Japan
Joliet Jake Blues,USA
Elwood,USA
Tom 'Bones' Malone,USA
Willie Hall,USA
Mr. Fabulous,USA
Blue Lou Marini,USA
Matt 'Guitar' Murphy,USA
Ray,USA
Edmond Dantès,France
Fernand Mondego,France
Danglars,France
Morrell,France
Mercédès,France
Napoleon Bonaparte,France
J.F. Villefort,France
Albert Mondego,France
Clarion,France
Ranchhod Rai Patel,India
Kamla,India
Namrata Patel,USA
Ritu Patel,USA
Prem Patel,India
Sunder Kapoor,India
Momo,China
John Zheng,China
Sharon,China
Rose,China
Liao Fan,China
Preetam,India
Anita,India
Sita Devi,India
Franky Four-Fingers,unknown
Doug 'The Head',unknown
Boris 'The Blade',unknown
Turkish,unknown
Brick Top,unknown
Mickey O'Neil,unknown
Avi,unknown
Sol,unknown
Vinny,unknown
Tony,unknown
Sunny,Unknown
Sumitra,Unknown
Avenash,Unknown
Sardar Dinesh Singh Girji,Unknown
Roma,Unknown
Rock Keats / Jack Carter,USA
Frank Colton,USA
Jensen,USA
Samson,Hebrew
Semadar,Philistine
Delilah,Philistine
Ahtur,Philistine
Saul,Hebrew
Miriam,Hebrew
Carter Webb,USA
Sofia,USA
Phyllis,USA
Paige Hardwicke,USA
Lucy Hardwicke,USA
Sarah Hardwicke,USA
Gabe,USA
Eric,USA
Annie Pope,USA
Arthur Pope,USA
Danny Pope,USA
Lorna,USA
Woo Viet,Vietnam
Cham Thanh,Vietnam
Soldier-of-fortune,USA
Greedy Millionaire Rancher,USA
Doña Camila,unknown
Elena,unknown
Carlos,unknown
Nora,unknown
Don Juan,unknown
Prudencio,unknown
El Gavilán,unknown
Mother,USA
Siblings,USA
Gabey,USA
Chip,USA
Ozzie,USA
Ivy Smith,USA
Claire,USA
Hildy Esterhazy,USA
Lucy Schmeeler,USA
Mary,USA
Social Worker,USA
Awadein,Iraq
Srg. Peter,USA
Shoukry,Iraq
Kochu Kunju,India
Childhood Girlfriend,India
Wealthy Girl,India
Boatmen,India
Steelhead,China
Xiu-Xiu,China
Jie,China
Detective Kitano,Japan
Eguchi,Japan
Gao,Taiwan
Nakajima,Japan
Togawa,Japan
Beth Cappadora,USA
Pat Cappadora,USA
Ben/Sam,USA
Vincent Cappadora,USA
Kerry Cappadora,USA
Mentally Unstable Woman,USA
Adoptive Father,USA
Edith,unknown
Abby,unknown
Ted,unknown
Linda,unknown
Michelle Williams,unknown
Amy,unknown
Fran,unknown
Kal,unknown
Tom,unknown
Arnold,unknown
John Gray,Scottish
Ewan,Scottish
James Brown,Scottish
Lord Provost,Scottish
Pat O'Brien,USA
May Kennedy,USA
Red Kennedy,USA
Sailor Boy Hansen,USA
Jameson,USA
Mario,Unknown
Simon,Unknown
Wesley Claybourne,Jamaica
Joe Armstrong,America
Curtis Jackson,America
He Dashang,China
Lily,China
Lily's Husband,China
Julia Lofting,USA
Magnus,USA
Kate,USA
Lily,USA
Mrs. Fludd,USA
Miss Pinner,USA
Greta Braden,USA
Captain Paul Winter,USA
David Swift,USA
Mark,USA
Mrs. Rudge,USA
Max Seed,unknown
Detective Matt Bishop,unknown
Sandy,unknown
Marisa Ventura,USA
Ty,USA
Stephanie,USA
Caroline Lane,USA
Christopher Marshall,USA
Lionel Bloch,USA
Jerry Siegal,USA
Veronica,USA
Shridhar Pant,India
Chandrakala,India
Bajirao,India
Porky,USA
Rabbit,USA
Kanji Watanabe,Japan
Watanabe's Son,Japan
Former Subordinate,Japan
Co-workers,Japan
Osama bin Laden,Saudi Arabia
Watuna,Mi'kmaq
Ane,Basque
Peiot,Basque
Athanasius,European
Margaret Dauncey,USA
Dr. Arthur Burdon,USA
Dr. Porhoet,France
Don Pringle,USA
Katrina Corelli,USA
Angelo,USA
Marie Rothenberg,USA
Charles Rothenberg,USA
J.J. McQuade,USA
Kayo Ramos,USA
Lola Richardson,USA
Rawley Wilkes,USA
Agent Jackson,USA
Tessa,India
Cyril,India
Hegde,India
Zubeida,India
DK,India
Doris,Poland
Mikołaj,Poland
Wladi,Poland
Melchior vel Mel Gibson,Poland
Szczepan,Poland
Karina,Poland
Małgorzata,Poland
Wojciech,Poland
Betty,Poland
Larwa,Poland
Members of Manikyasseri Family,India
Gao,Taiwan
Hsi,Taiwan
Flatty,Taiwan
Pletzel,Taiwan
Ying,Taiwan
Zach Baker,USA
Abbey,USA
Captain Amazing,fictional
Mr. Furious,fictional
The Sphinx,fictional
The Bowler,fictional
The Shoveler,fictional
Invisible Boy,fictional
The Spleen,fictional
Dr. Heller,fictional
Jake Hannaford,USA
Brooks Otterlake,USA
Mr. Pister,USA
John Dale,USA
Juliette Riche,USA
Superman,USA
Lois Lane,USA
Clark Kent,USA
Deputy Commissioner of Police Rudrapratap Chouhan,India
Harish,India
Brigadier Suryadev Singh,India
Inspector Shivajirao Wagle,India
Central Minister Jeevanlal Tandel,India
Radha Tandel,India
bahaddur,India
Biggs,Jamaica
Wayne,Jamaica
Mad Max,Jamaica
Teddy Bruck Shut,Jamaica
Teddy's Thugs,USA
Stewart Smith,USA
Michael Schuyler,USA
Gloria Golden,USA
Bingy Baker,USA
Dexter Grayson,USA
Anne Schuyler,USA
Mrs. Schuyler,USA
Gallagher,USA
Marcus Von Halpern,USA
Valentine Moore,USA
Sebastian Lacroix,USA
Tom Mercedes,USA
Matt Cody,USA
Bobby,USA
Joe,USA
Al,USA
Davy,USA
Colette d'Avril (Janie Mitchell),USA
Suzzane Sorrel,France
Tim Drake,USA
Barbara Gordon,USA
Harley Quinn,USA
Ahn Soo-ji,South Korea
Lee Jae-joon,South Korea
Denis Diderot,France
Baron Holbach,France
Madame Therbouche,France
Abraham,France
Voltaire,France
Antoinette,France
Madame de Jerfeuil,France
Chevalier de Jerfeuil,France
Marquis de Cambrol,France
Marquis de Lutz,France
Cardinal,France
Yuna,Korea
Karan,India
John 'Hitler' Kakkad,India
Bholu Dada,India
Daboo,India
Kapil Dev,India
Varun,India
Raghav,India
Inspector Duval,France
Lloyd,Unknown
Caroline,Unknown
Jesse,Unknown
Gus,Unknown
Murray,Unknown
Gary,Unknown
Connie,Unknown
Mary,Unknown
John,Unknown
Rose,Unknown
Jesse’s Commander,Unknown
Popeye the Sailor,USA
Nazi captain,Germany
Gracie Hart,USA
Eric Matthews,USA
Cheryl,USA
Stan Fields,USA
Sam Fuller,USA
Vincent Rubio,fictional
Ernie Watson,fictional
Ernie's ex-girlfriend,fictional
Cult Leader,fictional
Kichak,Kothakpur
Kyto,Zekan
Motu,Pehelwanpur
Bob Dylan,USA
Joan Baez,USA
Donovan,UK
Alan Price,UK
Albert Grossman,USA
Bob Neuwirth,USA
Marianne Faithfull,UK
John Mayall,UK
Ginger Baker,UK
Allen Ginsberg,USA
Horace Freeland Judson,USA
Terry Ellis,unknown
Tito Burns,unknown
Mamoru Kodai,Earth
Susumu Kodai,Earth
Captain Jyuzo Okita,Earth
Yuki Mori,Earth
Hajime Saito,Earth
Sam Nash,USA
Karen Nash,USA
Jesse Kiplinger,USA
Muriel Tate,USA
Roy Hubley,USA
Norma Hubley,USA
Mimsey,USA
Graham Dorsey,USA
Amanda Starbuck,USA
Dr. Finger,USA
Lulu,German
Lulu's Mother,German
Dove,USA
Kitty,USA
Hallie,USA
Jo,USA
Paula,Philippines
Nimfa,Philippines
Ada,Philippines
Sabel,Philippines
Tobz,Philippines
Wendy,Philippines
Rodney,Philippines
Dr. Cleo Carillo,Philippines
Marilou,Philippines
Amanda Dela Vega,Philippines
Dara Dela Vega,Philippines
Suzanne,Philippines
Theresa,Philippines
Emily,Philippines
Dolorosa 'Rose' Bonefacio,Philippines
Cole,N/A
Angela Mills,N/A
Martin Stensgard,Norwegian
Kaspar Togersen,Norwegian
Karen Stensgard,Norwegian
Gunnar Brogge,Norwegian
Johann (John Beal),Norwegian
Captain Koenig,German
Scalphunter,USA
Captain,England
Woman,England
Mr. Rainbow,USA
Ha Chun-Chi,Hong Kong
Patrick Wong,Hong Kong
Shum Shu-Hoi,Hong Kong
May,Hong Kong
Buck Yuen,Chinese
Manny Liu,unknown
Carmen Wong,Korean
Yong,Chinese
Lee Sang-zen,Chinese
Priest,Turkish
Ruby,USA
Mrs. Chambers,USA
Rochelle,USA
Kitten/Hippopotamus,Russia
Tom Walsh,USA
Ned,USA
Helen,USA
Nick Townsend,USA
Marie,unspecified
Inga,unspecified
Herbert,Kazakhstan
Mr. Karl,unspecified
Timmy,USA
Police Lieutenant Bracken,USA
College Student Kendall,USA
Mary Riggs,USA
The College Dean,USA
Tan Tung,China
White Dragon,China
Yang Ching,China
Ayato Kamina,Japan
Haruka Shitow,Japan
Reika Mishima,Japan
Maya Kamina,Japan
Mir Dad Shah,Iran
Bibi Hatun,Iran
Mohammad Reza Pahlavi,Iran
Mir Abdi,Iraq
Sardar Muhammad Darani,Iran
Dr. Azim Shahbakhsh,Iran
Grand Exalted High Majah,Raspur
China Lee,Unknown
Matt Calder,USA
Mark Calder,USA
Kay,USA
Harry Weston,USA
Eddie Turner,USA
Doctor Winifred Walker,USA
Malcomb,USA
Arthur,UK
Susan,UK
Miriam,USA
Cassy,USA
Mark,USA
Tanya,USA
Leo,USA
Aunt Gail,USA
Romeo,India
Raj Mohan,India
Madhoo,India
Prakash,India
Madras,India
Griffin,USA
Cook,USA
Landis,USA
Bailey Chastain,USA
Cherokee Jack,USA
Ruby Chastain,USA
Cliff Weismeyer,USA
Count Mascetti,Italy
Perozzi,Italy
Melandri,Italy
Necchi,Italy
Sassaroli,Italy
Titti,Italy
Righi,Italy
Chi-sung,South Korea
Joo-joong,South Korea
Boss,South Korea
Sripriya,India
Rajnikanth,India
Kamal Hassan,India
Saritha,India
Primo,Italy
Rabbi Avram Belinski,Poland
Hal Jordan,USA
Abin Sur,Unknown
Sinestro,Unknown
Hector Hammond,USA
Students,USA
Teachers,USA
Peyton MacGruder,USA
Christine,USA
King,USA
The Man,Unknown
Francesca,USA
Mrs. Kinsolving,USA
Kathleen,USA
Kenny,USA
Martin Brady,undefined
Marcos Castro,Mexico
Cipriano Castro,Mexico
Dr. Stovall,undefined
Ben,USA
Ludwig,USA
Major Colton,USA
Captain Rucker,USA
Helen Colton,USA
Martin Beck,Swedish
Lennart Kollberg,Swedish
Rami,Egypt
Dharmendra,India
Mithun Chakraborty,India
Peaches,USA
Angela,USA
Jillian Conway,USA
Molly Conway,USA
Sharon Ames,USA
Billy,USA
Lt. Ray Bozeman,USA
Sergeant Powers,USA
Detective Erica Lonsdale,USA
Peter Hood,USA
Henry Massey,USA
Nick Massey,USA
Jim McCoy,USA
Captain Roberto Nascimento,Brazil
Major Oliveira,Brazil
André Matias,Brazil
Neto Gouveia,Brazil
Roberta,Brazil
Edu,Brazil
Baiano,Brazil
Cao Cao,China
Liu Bei,China
Sun Quan,China
Zhang Fei,China
Guan Yu,China
Zhuge Liang,China
Zhou Yu,China
Sun Shangxiang,China
Cai Mao,China
Zhang Yun,China
Jiang Gan,China
Xiaoqiao,China
Xiahou Jun,China
Zhao Yun,China
Sang-hoon,South Korea
Han Yeon-hee,South Korea
Han Young-jae,South Korea
Dot Parker,USA
Mr. Parker,USA
Richard Brunton,USA
Joe Mulholland,USA
Herb Derman,USA
Emile,Canada
Nadia,Canada
Carl,Canada
Freddy,Canada
Horatio Smith,British
Ludmilla Koslowski,Polish
German General von Graum,German
Josh,USA
